code;libelle français;libelle anglais
COM-01282;"Outriaz";"undefined"
COM-02713;"Seringes-et-Nesles";"undefined"
COM-02276;"Englancourt";"undefined"
COM-02714;"Sermoise";"undefined"
COM-01283;"Oyonnax";"undefined"
COM-01284;"Ozan";"undefined"
COM-02277;"Épagny";"undefined"
COM-02715;"Serval";"undefined"
COM-02278;"Éparcy";"undefined"
COM-02716;"Servais";"undefined"
COM-01285;"Parcieux";"undefined"
COM-02279;"Épaux-Bézu";"undefined"
COM-02717;"Séry-lès-Mézières";"undefined"
COM-01286;"Parves et Nattages";"undefined"
COM-02280;"Épieds";"undefined"
COM-02718;"Silly-la-Poterie";"undefined"
COM-01288;"Péron";"undefined"
COM-02281;"L'Épine-aux-Bois";"undefined"
COM-02719;"Sinceny";"undefined"
COM-01289;"Péronnas";"undefined"
COM-02282;"Eppes";"undefined"
COM-02720;"Sissonne";"undefined"
COM-01290;"Pérouges";"undefined"
COM-02283;"Erlon";"undefined"
COM-02721;"Sissy";"undefined"
COM-01291;"Perrex";"undefined"
COM-02284;"Erloy";"undefined"
COM-02722;"Soissons";"undefined"
COM-01293;"Peyriat";"undefined"
COM-02286;"Esquéhéries";"undefined"
COM-02723;"Soize";"undefined"
COM-01294;"Peyrieu";"undefined"
COM-02287;"Essigny-le-Grand";"undefined"
COM-01295;"Peyzieux-sur-Saône";"undefined"
COM-02724;"Sommelans";"undefined"
COM-02288;"Essigny-le-Petit";"undefined"
COM-01296;"Pirajoux";"undefined"
COM-02725;"Sommeron";"undefined"
COM-02289;"Essises";"undefined"
COM-01297;"Pizay";"undefined"
COM-02726;"Sommette-Eaucourt";"undefined"
COM-02290;"Essômes-sur-Marne";"undefined"
COM-01298;"Plagne";"undefined"
COM-02727;"Sons-et-Ronchères";"undefined"
COM-01299;"Le Plantay";"undefined"
COM-02291;"Estrées";"undefined"
COM-02728;"Sorbais";"undefined"
COM-02292;"Étampes-sur-Marne";"undefined"
COM-01301;"Polliat";"undefined"
COM-02729;"Soucy";"undefined"
COM-03314;"Villebret";"undefined"
COM-02293;"Étaves-et-Bocquiaux";"undefined"
COM-01302;"Pollieu";"undefined"
COM-02730;"Soupir";"undefined"
COM-03315;"Villefranche-d'Allier";"undefined"
COM-01303;"Poncin";"undefined"
COM-02294;"Étouvelles";"undefined"
COM-03316;"Villeneuve-sur-Allier";"undefined"
COM-01304;"Pont-d'Ain";"undefined"
COM-02295;"Étréaupont";"undefined"
