code;libelle français;libelle anglais
AAV2020-184;"Longwy";"undefined"
AAV2020-451;"Le Thillot";"undefined"
AAV2020-257;"Guingamp";"undefined"
AAV2020-295;"Saint-Marcellin";"undefined"
AAV2020-154;"Villeneuve-sur-Lot";"undefined"
AAV2020-228;"Châteaubriant";"undefined"
AAV2020-173;"Les Herbiers";"undefined"
AAV2020-366;"Tonneins";"undefined"
AAV2020-214;"Quimperlé";"undefined"
AAV2020-281;"Foix";"undefined"
AAV2020-333;"Louhans";"undefined"
AAV2020-200;"Sète";"undefined"
AAV2020-185;"Bagnols-sur-Cèze";"undefined"
AAV2020-418;"Mortagne-au-Perche";"undefined"
AAV2020-155;"Ancenis-Saint-Géréon";"undefined"
AAV2020-393;"Saint-Chély-d'Apcher";"undefined"
AAV2020-229;"Loudéac";"undefined"
AAV2020-142;"Saint-Dié-des-Vosges";"undefined"
AAV2020-215;"Argentan";"undefined"
AAV2020-044;"Pau";"undefined"
AAV2020-201;"Cavaillon";"undefined"
AAV2020-305;"Carhaix-Plouguer";"undefined"
AAV2020-103;"Rodez";"undefined"
AAV2020-394;"Auray";"undefined"
AAV2020-433;"Baugé-en-Anjou";"undefined"
AAV2020-367;"Graulhet";"undefined"
AAV2020-116;"Alençon";"undefined"
AAV2020-186;"Granville";"undefined"
AAV2020-404;"Saint-Affrique";"undefined"
AAV2020-156;"Auchel - Lillers";"undefined"
AAV2020-395;"Dives-sur-Mer";"undefined"
AAV2020-282;"Lourdes";"undefined"
AAV2020-419;"Aubusson";"undefined"
AAV2020-117;"Châtellerault";"undefined"
AAV2020-368;"Wissembourg (partie française)";"undefined"
AAV2020-187;"Dinan";"undefined"
AAV2020-405;"Cogolin";"undefined"
AAV2020-434;"Nontron";"undefined"
AAV2020-334;"Valréas";"undefined"
AAV2020-104;"Bastia";"undefined"
AAV2020-157;"Épernay";"undefined"
AAV2020-296;"Roscoff - Saint-Pol-de-Léon";"undefined"
AAV2020-420;"La Côte-Saint-André";"undefined"
AAV2020-045;"Besançon";"undefined"
AAV2020-283;"Tergnier";"undefined"
AAV2020-118;"Sens";"undefined"
AAV2020-143;"Aubenas";"undefined"
AAV2020-435;"La Souterraine";"undefined"
AAV2020-421;"Aire-sur-l'Adour";"undefined"
AAV2020-306;"Gaillac";"undefined"
AAV2020-158;"Sélestat";"undefined"
AAV2020-406;"Condom";"undefined"
AAV2020-452;"La Châtre";"undefined"
AAV2020-422;"Hauts de Bienne";"undefined"
AAV2020-159;"Libourne";"undefined"
AAV2020-046;"Poitiers";"undefined"
AAV2020-423;"Moûtiers";"undefined"
AAV2020-307;"Neufchâteau";"undefined"
AAV2020-436;"Gueugnon";"undefined"
AAV2020-284;"Saint-Girons";"undefined"
AAV2020-407;"Mazamet";"undefined"
AAV2020-144;"Louviers";"undefined"
AAV2020-297;"Vittel - Contrexéville";"undefined"
AAV2020-437;"Beaurepaire";"undefined"
AAV2020-047;"Bayonne (partie française)";"undefined"
AAV2020-308;"Hirson";"undefined"
