code;libelle français;libelle anglais
AAV2020-416;"Digoin";"undefined"
AAV2020-424;"Jarny";"undefined"
AAV2020-376;"Pont-Saint-Esprit";"undefined"
AAV2020-425;"Ribérac";"undefined"
AAV2020-408;"Chamonix-Mont-Blanc";"undefined"
AAV2020-417;"Givet";"undefined"
AAV2020-393;"Saint-Chély-d'Apcher";"undefined"
AAV2020-401;"Roye";"undefined"
AAV2020-377;"Montpon-Ménestérol";"undefined"
AAV2020-433;"Baugé-en-Anjou";"undefined"
AAV2020-384;"Saint-Gervais-les-Bains";"undefined"
AAV2020-426;"Delle (partie française)";"undefined"
AAV2020-434;"Nontron";"undefined"
AAV2020-394;"Auray";"undefined"
AAV2020-402;"Le Cateau-Cambrésis";"undefined"
AAV2020-418;"Mortagne-au-Perche";"undefined"
AAV2020-427;"Embrun";"undefined"
AAV2020-435;"La Souterraine";"undefined"
AAV2020-409;"Lillebonne";"undefined"
AAV2020-443;"Lodève";"undefined"
AAV2020-395;"Dives-sur-Mer";"undefined"
AAV2020-385;"Fumel";"undefined"
AAV2020-403;"Aubigny-sur-Nère";"undefined"
AAV2020-419;"Aubusson";"undefined"
AAV2020-428;"Sully-sur-Loire";"undefined"
AAV2020-444;"Le Pouliguen";"undefined"
AAV2020-436;"Gueugnon";"undefined"
AAV2020-452;"La Châtre";"undefined"
AAV2020-404;"Saint-Affrique";"undefined"
AAV2020-410;"Gourdon";"undefined"
AAV2020-453;"Saint-Jean-de-Monts";"undefined"
AAV2020-445;"Pauillac";"undefined"
AAV2020-386;"Ruffec";"undefined"
AAV2020-437;"Beaurepaire";"undefined"
AAV2020-411;"Pouzauges";"undefined"
AAV2020-438;"Valdahon";"undefined"
AAV2020-420;"La Côte-Saint-André";"undefined"
AAV2020-405;"Cogolin";"undefined"
AAV2020-461;"Faulquemont";"undefined"
AAV2020-429;"Saint-Florentin";"undefined"
AAV2020-412;"Nyons";"undefined"
AAV2020-454;"Saint-Maixent-l'École";"undefined"
AAV2020-446;"Tournus";"undefined"
AAV2020-462;"Ernée";"undefined"
AAV2020-439;"Marennes-Hiers-Brouage";"undefined"
AAV2020-421;"Aire-sur-l'Adour";"undefined"
AAV2020-430;"Calvi";"undefined"
AAV2020-470;"Mamers";"undefined"
AAV2020-413;"Nogent-sur-Seine";"undefined"
AAV2020-471;"Bort-les-Orgues";"undefined"
AAV2020-455;"Mimizan";"undefined"
AAV2020-440;"La Réole";"undefined"
AAV2020-447;"La Châtaigneraie";"undefined"
AAV2020-431;"Guer";"undefined"
AAV2020-422;"Hauts de Bienne";"undefined"
AAV2020-414;"Corte";"undefined"
AAV2020-463;"La Londe-les-Maures";"undefined"
AAV2020-472;"Montdidier";"undefined"
AAV2020-456;"Bazas";"undefined"
